customer_id,timestamp,category,action,amount,age,gender,location,membership_years
595,2025-02-20 17:51:00,Beauty,view,0.0,21,O,Cape Coast,9
12,2025-02-22 10:04:00,Home,view,0.0,28,F,Tamale,2
902,2025-04-07 04:56:00,Beauty,view,0.0,22,F,Kumasi,9
118,2025-04-30 00:49:00,Electronics,view,0.0,22,O,Takoradi,2
197,2025-03-07 14:38:00,Beauty,purchase,394.58,30,O,Accra,4
391,2025-03-20 22:13:00,Home,add_to_cart,0.0,69,F,Takoradi,0
477,2025-04-30 19:28:00,Clothing,purchase,458.22,30,M,Kumasi,4
392,2025-03-31 09:16:00,Clothing,purchase,65.52,38,O,Tamale,0
318,2025-02-10 04:17:00,Clothing,view,0.0,55,M,Accra,7
945,2025-04-01 16:11:00,Home,view,0.0,59,O,Accra,4
98,2025-03-30 02:15:00,Clothing,view,0.0,58,M,Accra,6
586,2025-02-07 21:25:00,Home,view,0.0,25,O,Accra,1
219,2025-01-29 14:37:00,Beauty,view,0.0,69,M,Accra,9
950,2025-01-20 11:18:00,Beauty,view,0.0,22,F,Kumasi,9
834,2025-01-30 20:33:00,Home,view,0.0,20,M,Accra,2
283,2025-01-10 08:32:00,Electronics,view,0.0,67,F,Tamale,0
59,2025-01-02 03:00:00,Home,view,0.0,24,O,Tamale,4
266,2025-02-22 14:58:00,Home,add_to_cart,0.0,43,M,Kumasi,0
891,2025-04-30 21:35:00,Clothing,view,0.0,68,M,Takoradi,9
284,2025-03-06 16:44:00,Beauty,purchase,275.58,40,M,Kumasi,7
83,2025-01-01 09:35:00,Electronics,add_to_cart,0.0,65,F,Kumasi,2
618,2025-02-01 05:47:00,Electronics,view,0.0,40,O,Cape Coast,5
795,2025-02-23 17:34:00,Beauty,add_to_cart,0.0,35,M,Tamale,3
127,2025-01-25 14:14:00,Beauty,view,0.0,51,F,Tamale,4
73,2025-01-27 18:55:00,Beauty,view,0.0,21,O,Takoradi,1
377,2025-02-10 09:49:00,Beauty,view,0.0,47,O,Cape Coast,9
39,2025-04-23 20:22:00,Beauty,view,0.0,61,M,Accra,0
575,2025-04-07 13:04:00,Home,view,0.0,30,F,Takoradi,6
296,2025-03-16 17:02:00,Clothing,view,0.0,18,F,Tamale,7
528,2025-03-23 15:54:00,Clothing,add_to_cart,0.0,38,M,Takoradi,0
639,2025-01-19 03:58:00,Books,add_to_cart,0.0,29,F,Tamale,6
387,2025-03-15 05:00:00,Home,view,0.0,63,O,Cape Coast,6
691,2025-04-20 09:16:00,Electronics,view,0.0,46,M,Takoradi,7
619,2025-03-30 06:48:00,Beauty,view,0.0,49,M,Kumasi,0
694,2025-02-06 08:17:00,Home,view,0.0,36,O,Cape Coast,8
445,2025-02-27 10:58:00,Beauty,add_to_cart,0.0,19,F,Tamale,5
680,2025-02-05 17:59:00,Home,purchase,41.36,55,M,Accra,9
866,2025-03-04 21:10:00,Clothing,view,0.0,61,F,Cape Coast,5
772,2025-03-27 06:42:00,Beauty,view,0.0,45,M,Accra,0
129,2025-02-24 02:13:00,Clothing,view,0.0,65,M,Tamale,3
614,2025-02-07 20:47:00,Books,view,0.0,66,O,Cape Coast,4
714,2025-04-02 20:49:00,Home,add_to_cart,0.0,43,O,Accra,4
596,2025-03-24 02:03:00,Books,view,0.0,67,F,Cape Coast,7
140,2025-03-01 23:41:00,Electronics,view,0.0,52,M,Accra,7
319,2025-02-21 23:24:00,Books,view,0.0,57,M,Tamale,3
544,2025-02-24 04:35:00,Clothing,view,0.0,18,O,Accra,1
314,2025-02-08 15:32:00,Electronics,view,0.0,28,O,Accra,3
137,2025-01-06 18:44:00,Home,view,0.0,44,M,Takoradi,5
425,2025-04-28 04:41:00,Electronics,view,0.0,52,M,Accra,9
976,2025-03-08 21:08:00,Books,view,0.0,69,M,Takoradi,8
599,2025-01-13 13:51:00,Books,view,0.0,46,O,Tamale,2
616,2025-03-26 01:36:00,Beauty,view,0.0,49,F,Cape Coast,8
662,2025-04-28 00:29:00,Electronics,view,0.0,62,M,Tamale,8
416,2025-02-11 18:13:00,Clothing,view,0.0,57,O,Kumasi,9
115,2025-02-05 01:08:00,Clothing,view,0.0,52,M,Tamale,7
206,2025-02-08 22:46:00,Home,view,0.0,50,F,Kumasi,8
382,2025-01-28 23:07:00,Home,view,0.0,58,M,Tamale,7
175,2025-02-02 00:18:00,Home,view,0.0,24,O,Kumasi,0
175,2025-04-16 00:28:00,Clothing,view,0.0,24,O,Kumasi,0
141,2025-04-28 00:33:00,Books,view,0.0,54,F,Accra,5
205,2025-02-17 16:52:00,Books,view,0.0,54,O,Kumasi,8
640,2025-03-29 16:06:00,Books,view,0.0,58,O,Accra,1
305,2025-03-08 06:57:00,Electronics,purchase,390.48,36,F,Takoradi,6
574,2025-01-17 10:24:00,Home,view,0.0,46,M,Tamale,7
207,2025-01-29 20:42:00,Clothing,view,0.0,68,M,Accra,3
25,2025-02-23 08:55:00,Electronics,view,0.0,38,O,Tamale,8
598,2025-03-21 08:50:00,Beauty,view,0.0,28,M,Accra,6
745,2025-03-12 13:28:00,Home,add_to_cart,0.0,54,M,Accra,5
937,2025-02-14 14:02:00,Home,view,0.0,49,O,Accra,2
542,2025-02-26 07:17:00,Home,view,0.0,36,M,Kumasi,9
194,2025-04-06 07:21:00,Beauty,view,0.0,18,M,Takoradi,0
872,2025-02-05 14:27:00,Beauty,view,0.0,64,M,Cape Coast,0
685,2025-03-23 01:12:00,Books,purchase,123.46,59,M,Accra,9
221,2025-04-16 02:18:00,Home,view,0.0,56,O,Takoradi,5
832,2025-02-09 22:03:00,Home,view,0.0,22,F,Kumasi,8
843,2025-04-05 10:31:00,Home,view,0.0,31,F,Accra,7
898,2025-03-03 16:08:00,Beauty,view,0.0,47,O,Kumasi,1
482,2025-03-02 23:14:00,Electronics,view,0.0,34,M,Takoradi,3
201,2025-02-27 04:47:00,Books,view,0.0,23,F,Accra,4
480,2025-02-27 19:16:00,Home,view,0.0,47,M,Takoradi,0
704,2025-02-13 06:27:00,Electronics,view,0.0,62,O,Tamale,5
902,2025-01-29 16:15:00,Home,view,0.0,22,F,Kumasi,9
858,2025-02-05 09:36:00,Books,view,0.0,25,M,Cape Coast,1
938,2025-03-17 09:12:00,Home,view,0.0,67,F,Tamale,0
520,2025-04-14 07:44:00,Home,add_to_cart,0.0,63,F,Cape Coast,3
734,2025-03-17 09:43:00,Home,view,0.0,55,O,Cape Coast,5
593,2025-03-31 01:49:00,Beauty,view,0.0,58,F,Cape Coast,1
791,2025-01-18 16:37:00,Electronics,view,0.0,30,M,Cape Coast,6
678,2025-03-08 00:29:00,Books,add_to_cart,0.0,61,F,Kumasi,9
917,2025-04-20 12:26:00,Beauty,add_to_cart,0.0,60,O,Takoradi,4
586,2025-04-13 20:14:00,Beauty,view,0.0,25,O,Accra,1
887,2025-03-11 23:19:00,Clothing,view,0.0,35,F,Takoradi,6
204,2025-02-02 07:00:00,Books,view,0.0,26,M,Kumasi,4
70,2025-01-21 02:14:00,Books,view,0.0,19,M,Cape Coast,8
814,2025-02-19 15:05:00,Electronics,add_to_cart,0.0,43,O,Kumasi,9
699,2025-04-30 07:28:00,Books,add_to_cart,0.0,39,O,Kumasi,2
258,2025-01-08 10:32:00,Books,view,0.0,26,F,Accra,2
688,2025-01-27 19:11:00,Home,purchase,402.66,44,M,Kumasi,4
573,2025-03-15 02:44:00,Home,view,0.0,61,O,Tamale,1
655,2025-01-16 12:48:00,Home,view,0.0,42,F,Tamale,7
699,2025-01-21 18:53:00,Home,view,0.0,39,O,Kumasi,2
508,2025-02-17 20:34:00,Clothing,add_to_cart,0.0,43,M,Accra,5
356,2025-02-01 22:14:00,Home,view,0.0,62,F,Accra,8
515,2025-03-21 04:20:00,Books,view,0.0,45,F,Accra,0
537,2025-03-09 18:42:00,Clothing,add_to_cart,0.0,53,M,Takoradi,5
939,2025-01-25 19:47:00,Home,add_to_cart,0.0,68,F,Tamale,8
651,2025-04-20 01:54:00,Beauty,view,0.0,33,O,Tamale,5
315,2025-01-05 18:20:00,Beauty,view,0.0,66,F,Cape Coast,1
758,2025-04-23 09:19:00,Electronics,view,0.0,20,O,Accra,9
288,2025-01-11 17:26:00,Clothing,view,0.0,52,O,Cape Coast,6
75,2025-01-21 11:04:00,Electronics,view,0.0,35,M,Takoradi,2
857,2025-04-15 21:09:00,Home,add_to_cart,0.0,48,F,Tamale,0
839,2025-01-04 00:14:00,Beauty,view,0.0,27,M,Accra,0
754,2025-02-16 16:28:00,Clothing,view,0.0,31,O,Accra,1
112,2025-02-02 22:58:00,Home,view,0.0,68,O,Takoradi,8
296,2025-04-28 19:29:00,Home,view,0.0,18,F,Tamale,7
90,2025-04-04 12:12:00,Clothing,view,0.0,33,M,Tamale,2
742,2025-03-07 03:53:00,Clothing,add_to_cart,0.0,33,O,Tamale,2
876,2025-02-09 10:21:00,Beauty,view,0.0,38,M,Accra,8
296,2025-03-31 16:19:00,Beauty,view,0.0,18,F,Tamale,7
942,2025-03-03 10:06:00,Books,purchase,344.89,22,M,Takoradi,2
155,2025-02-22 22:23:00,Electronics,purchase,24.71,59,M,Tamale,5
234,2025-03-22 14:30:00,Electronics,view,0.0,49,O,Takoradi,2
607,2025-04-27 13:19:00,Beauty,view,0.0,41,O,Takoradi,6
631,2025-01-12 16:16:00,Clothing,purchase,51.7,37,F,Kumasi,3
523,2025-04-08 17:06:00,Beauty,view,0.0,29,F,Accra,8
763,2025-01-20 17:37:00,Clothing,view,0.0,27,O,Tamale,0
783,2025-04-11 19:02:00,Books,add_to_cart,0.0,34,F,Accra,4
808,2025-03-13 07:43:00,Home,view,0.0,35,O,Cape Coast,7
904,2025-04-03 23:59:00,Clothing,view,0.0,21,O,Accra,3
49,2025-02-05 12:31:00,Beauty,view,0.0,21,O,Takoradi,6
86,2025-01-04 17:37:00,Clothing,add_to_cart,0.0,31,O,Kumasi,7
11,2025-04-02 13:31:00,Books,view,0.0,28,O,Accra,1
266,2025-02-09 13:23:00,Home,view,0.0,43,M,Kumasi,0
828,2025-03-03 22:16:00,Electronics,view,0.0,45,M,Cape Coast,6
991,2025-04-16 22:41:00,Books,view,0.0,24,F,Tamale,4
777,2025-01-22 12:24:00,Clothing,view,0.0,45,M,Kumasi,9
936,2025-01-17 14:41:00,Books,purchase,445.86,46,O,Cape Coast,1
660,2025-03-31 20:17:00,Books,add_to_cart,0.0,33,M,Kumasi,4
447,2025-03-17 11:37:00,Home,view,0.0,40,F,Takoradi,6
761,2025-04-09 15:17:00,Beauty,view,0.0,28,F,Kumasi,2
224,2025-03-03 07:12:00,Books,purchase,95.99,66,O,Accra,2
979,2025-03-18 13:30:00,Beauty,purchase,466.84,39,M,Kumasi,7
845,2025-02-01 05:37:00,Beauty,view,0.0,63,F,Takoradi,8
451,2025-01-28 02:44:00,Clothing,purchase,305.89,39,M,Cape Coast,1
422,2025-03-13 22:07:00,Electronics,add_to_cart,0.0,46,O,Kumasi,4
544,2025-04-09 09:02:00,Home,view,0.0,18,O,Accra,1
827,2025-01-31 04:51:00,Electronics,view,0.0,23,M,Tamale,9
287,2025-03-26 19:38:00,Beauty,view,0.0,59,M,Tamale,6
639,2025-02-11 17:48:00,Beauty,view,0.0,29,F,Tamale,6
337,2025-02-23 03:32:00,Electronics,view,0.0,50,F,Takoradi,6
273,2025-01-24 07:49:00,Home,view,0.0,58,O,Cape Coast,4
686,2025-03-13 07:58:00,Clothing,add_to_cart,0.0,26,O,Kumasi,6
781,2025-02-08 04:48:00,Beauty,add_to_cart,0.0,53,F,Kumasi,8
272,2025-04-29 01:53:00,Clothing,view,0.0,69,M,Takoradi,4
286,2025-04-13 12:31:00,Clothing,view,0.0,47,F,Tamale,2
94,2025-03-23 12:42:00,Books,add_to_cart,0.0,41,M,Tamale,2
624,2025-02-24 16:39:00,Home,view,0.0,40,F,Accra,3
201,2025-02-21 09:43:00,Books,view,0.0,23,F,Accra,4
692,2025-01-30 00:56:00,Beauty,purchase,498.24,54,M,Tamale,0
44,2025-04-09 10:33:00,Electronics,view,0.0,24,M,Takoradi,3
140,2025-04-07 12:13:00,Electronics,view,0.0,52,M,Accra,7
72,2025-01-27 11:00:00,Home,add_to_cart,0.0,59,F,Takoradi,5
702,2025-04-25 10:38:00,Home,view,0.0,24,F,Accra,0
481,2025-02-01 20:20:00,Clothing,view,0.0,36,O,Cape Coast,4
493,2025-03-05 18:53:00,Electronics,view,0.0,64,M,Accra,0
371,2025-01-11 23:48:00,Books,purchase,337.26,21,O,Cape Coast,1
851,2025-04-13 16:05:00,Home,view,0.0,18,M,Cape Coast,4
28,2025-03-07 05:54:00,Books,add_to_cart,0.0,39,O,Kumasi,9
580,2025-03-27 16:42:00,Beauty,purchase,15.04,68,O,Tamale,2
288,2025-03-22 08:35:00,Beauty,purchase,162.82,52,O,Cape Coast,6
355,2025-04-20 07:55:00,Home,add_to_cart,0.0,55,F,Kumasi,0
938,2025-03-23 15:39:00,Electronics,purchase,101.01,67,F,Tamale,0
720,2025-04-24 03:37:00,Beauty,view,0.0,67,F,Accra,5
367,2025-01-16 23:11:00,Books,view,0.0,50,F,Kumasi,8
802,2025-03-08 23:53:00,Clothing,purchase,327.28,47,M,Takoradi,6
360,2025-01-10 18:02:00,Books,view,0.0,44,M,Kumasi,5
283,2025-03-21 16:14:00,Home,view,0.0,67,F,Tamale,0
693,2025-02-13 14:33:00,Clothing,add_to_cart,0.0,55,M,Kumasi,3
471,2025-01-04 22:47:00,Electronics,view,0.0,47,M,Accra,8
578,2025-01-30 02:57:00,Books,view,0.0,63,F,Cape Coast,3
433,2025-04-26 21:20:00,Books,view,0.0,37,F,Cape Coast,1
294,2025-01-15 13:51:00,Electronics,view,0.0,66,F,Takoradi,2
889,2025-01-05 05:48:00,Home,view,0.0,32,M,Takoradi,5
303,2025-03-28 03:26:00,Clothing,view,0.0,58,O,Takoradi,7
739,2025-03-27 07:22:00,Home,view,0.0,62,F,Tamale,0
138,2025-03-30 19:48:00,Home,add_to_cart,0.0,52,O,Tamale,6
5,2025-04-19 20:54:00,Books,view,0.0,60,O,Kumasi,2
237,2025-04-12 04:08:00,Home,view,0.0,36,F,Takoradi,7
449,2025-04-14 18:29:00,Home,view,0.0,68,M,Accra,2
844,2025-02-08 12:58:00,Books,view,0.0,26,O,Takoradi,5
732,2025-04-04 08:38:00,Clothing,view,0.0,42,M,Kumasi,1
495,2025-02-03 22:30:00,Beauty,view,0.0,49,M,Tamale,3
897,2025-02-24 21:39:00,Books,view,0.0,32,M,Takoradi,4
833,2025-03-04 09:53:00,Clothing,add_to_cart,0.0,55,O,Takoradi,9
209,2025-01-22 05:34:00,Books,add_to_cart,0.0,61,F,Accra,0
702,2025-02-16 16:16:00,Clothing,view,0.0,24,F,Accra,0
166,2025-03-22 15:13:00,Books,add_to_cart,0.0,40,M,Tamale,6
366,2025-01-14 14:07:00,Books,view,0.0,64,O,Takoradi,6
509,2025-01-27 12:48:00,Books,view,0.0,33,O,Takoradi,0
60,2025-01-06 04:21:00,Clothing,view,0.0,61,O,Tamale,8
217,2025-02-03 14:04:00,Clothing,view,0.0,66,M,Cape Coast,8
710,2025-02-28 17:17:00,Beauty,view,0.0,61,O,Takoradi,8
526,2025-03-19 12:06:00,Beauty,view,0.0,43,O,Takoradi,0
19,2025-03-04 10:46:00,Beauty,view,0.0,19,F,Kumasi,8
419,2025-01-19 19:35:00,Home,view,0.0,60,F,Cape Coast,2
432,2025-02-13 07:23:00,Books,view,0.0,62,O,Cape Coast,3
327,2025-04-17 17:00:00,Home,view,0.0,35,M,Takoradi,8
141,2025-03-11 13:36:00,Beauty,view,0.0,54,F,Accra,5
720,2025-04-02 15:03:00,Books,view,0.0,67,F,Accra,5
864,2025-04-19 01:30:00,Home,view,0.0,29,O,Cape Coast,5
792,2025-01-15 10:30:00,Electronics,view,0.0,63,M,Takoradi,3
962,2025-01-08 06:55:00,Beauty,purchase,321.35,43,F,Accra,9
313,2025-03-21 02:29:00,Clothing,view,0.0,69,O,Kumasi,0
882,2025-03-10 20:28:00,Beauty,view,0.0,55,F,Takoradi,4
382,2025-02-14 22:04:00,Clothing,view,0.0,58,M,Tamale,7
620,2025-01-04 22:05:00,Clothing,add_to_cart,0.0,54,F,Cape Coast,6
424,2025-04-06 08:36:00,Clothing,view,0.0,43,O,Kumasi,4
624,2025-04-30 02:41:00,Home,add_to_cart,0.0,40,F,Accra,3
96,2025-01-04 03:16:00,Electronics,view,0.0,42,O,Kumasi,9
416,2025-03-27 23:05:00,Home,purchase,206.1,57,O,Kumasi,9
880,2025-04-29 10:12:00,Home,add_to_cart,0.0,68,O,Takoradi,9
393,2025-03-01 11:22:00,Electronics,view,0.0,49,F,Takoradi,3
251,2025-04-15 08:22:00,Clothing,view,0.0,51,M,Kumasi,9
175,2025-03-10 14:51:00,Electronics,view,0.0,24,O,Kumasi,0
237,2025-04-30 15:46:00,Electronics,add_to_cart,0.0,36,F,Takoradi,7
490,2025-04-20 22:40:00,Electronics,view,0.0,29,O,Kumasi,5
116,2025-02-17 01:09:00,Home,view,0.0,52,M,Accra,6
597,2025-01-21 21:44:00,Electronics,view,0.0,62,O,Takoradi,1
576,2025-01-02 11:56:00,Clothing,purchase,114.71,29,F,Cape Coast,8
784,2025-04-23 18:17:00,Home,view,0.0,26,M,Takoradi,5
858,2025-01-16 05:56:00,Beauty,view,0.0,25,M,Cape Coast,1
239,2025-02-17 09:11:00,Beauty,view,0.0,61,F,Kumasi,6
999,2025-04-28 01:25:00,Home,view,0.0,35,F,Accra,7
591,2025-03-13 06:46:00,Beauty,view,0.0,51,F,Cape Coast,9
766,2025-02-12 16:16:00,Beauty,add_to_cart,0.0,25,O,Cape Coast,7
837,2025-03-31 15:35:00,Beauty,view,0.0,54,O,Tamale,7
175,2025-03-17 04:29:00,Clothing,view,0.0,24,O,Kumasi,0
180,2025-02-06 02:14:00,Beauty,view,0.0,59,O,Tamale,8
436,2025-01-19 12:41:00,Books,add_to_cart,0.0,63,F,Kumasi,3
27,2025-02-24 19:28:00,Beauty,add_to_cart,0.0,29,F,Takoradi,1
831,2025-02-05 01:21:00,Clothing,view,0.0,48,M,Accra,9
868,2025-01-30 12:18:00,Clothing,view,0.0,47,O,Kumasi,9
830,2025-04-28 03:21:00,Beauty,add_to_cart,0.0,22,F,Accra,8
932,2025-03-14 06:50:00,Home,view,0.0,20,M,Kumasi,8
116,2025-04-21 14:56:00,Beauty,view,0.0,52,M,Accra,6
388,2025-02-19 17:04:00,Beauty,view,0.0,48,O,Accra,3
587,2025-02-06 21:57:00,Beauty,view,0.0,46,F,Cape Coast,7
802,2025-03-18 09:08:00,Clothing,view,0.0,47,M,Takoradi,6
580,2025-01-19 09:29:00,Home,view,0.0,68,O,Tamale,2
189,2025-01-31 18:30:00,Books,add_to_cart,0.0,28,O,Takoradi,8
187,2025-04-26 09:01:00,Clothing,view,0.0,37,M,Kumasi,7
785,2025-04-06 15:15:00,Books,view,0.0,50,O,Tamale,6
88,2025-01-01 10:54:00,Books,add_to_cart,0.0,57,M,Kumasi,0
410,2025-04-21 17:11:00,Electronics,add_to_cart,0.0,19,M,Kumasi,1
348,2025-04-06 00:46:00,Beauty,add_to_cart,0.0,29,O,Tamale,8
711,2025-01-02 09:23:00,Beauty,view,0.0,56,M,Cape Coast,6
410,2025-03-16 07:49:00,Home,purchase,76.19,19,M,Kumasi,1
195,2025-04-16 16:53:00,Clothing,add_to_cart,0.0,44,M,Kumasi,2
898,2025-03-01 21:29:00,Beauty,view,0.0,47,O,Kumasi,1
793,2025-04-06 09:59:00,Clothing,view,0.0,52,F,Takoradi,8
845,2025-04-30 08:53:00,Clothing,view,0.0,63,F,Takoradi,8
246,2025-03-21 12:21:00,Electronics,add_to_cart,0.0,34,O,Accra,5
363,2025-01-27 08:15:00,Clothing,view,0.0,47,O,Cape Coast,1
601,2025-03-07 11:39:00,Electronics,view,0.0,42,O,Takoradi,6
201,2025-01-10 01:47:00,Beauty,view,0.0,23,F,Accra,4
578,2025-03-06 18:59:00,Beauty,view,0.0,63,F,Cape Coast,3
923,2025-01-02 13:01:00,Books,add_to_cart,0.0,33,F,Takoradi,1
613,2025-01-28 19:38:00,Books,view,0.0,35,F,Accra,2
846,2025-04-11 17:23:00,Clothing,purchase,209.23,18,M,Tamale,8
454,2025-02-05 12:35:00,Books,purchase,398.17,69,O,Accra,0
929,2025-02-14 03:19:00,Clothing,view,0.0,57,O,Cape Coast,2
663,2025-04-06 12:58:00,Home,purchase,169.65,59,F,Takoradi,0
755,2025-03-19 06:30:00,Beauty,view,0.0,32,O,Takoradi,5
599,2025-01-14 06:45:00,Beauty,purchase,235.73,46,O,Tamale,2
556,2025-04-08 04:44:00,Home,view,0.0,37,O,Tamale,7
616,2025-03-19 14:42:00,Electronics,view,0.0,49,F,Cape Coast,8
355,2025-01-17 18:45:00,Books,purchase,287.22,55,F,Kumasi,0
201,2025-01-29 05:24:00,Clothing,view,0.0,23,F,Accra,4
508,2025-04-01 07:54:00,Electronics,view,0.0,43,M,Accra,5
855,2025-04-06 10:38:00,Home,view,0.0,51,O,Kumasi,7
730,2025-01-16 02:19:00,Home,add_to_cart,0.0,45,O,Cape Coast,6
58,2025-02-22 14:00:00,Electronics,view,0.0,64,O,Kumasi,6
852,2025-03-11 07:28:00,Home,view,0.0,66,M,Accra,3
188,2025-02-04 04:26:00,Beauty,view,0.0,47,F,Takoradi,1
621,2025-01-20 08:38:00,Beauty,view,0.0,29,O,Accra,6
787,2025-04-12 12:42:00,Books,view,0.0,30,O,Tamale,8
441,2025-03-27 19:46:00,Books,add_to_cart,0.0,40,M,Takoradi,4
43,2025-03-24 07:51:00,Clothing,view,0.0,68,M,Tamale,4
627,2025-01-26 22:42:00,Books,view,0.0,58,O,Kumasi,3
20,2025-02-25 18:47:00,Home,view,0.0,41,O,Takoradi,3
991,2025-02-24 13:10:00,Clothing,view,0.0,24,F,Tamale,4
523,2025-02-07 01:42:00,Home,view,0.0,29,F,Accra,8
942,2025-04-26 05:48:00,Clothing,view,0.0,22,M,Takoradi,2
867,2025-04-14 07:58:00,Beauty,add_to_cart,0.0,22,F,Tamale,1
376,2025-01-07 10:38:00,Books,purchase,353.21,45,M,Accra,7
870,2025-04-20 11:42:00,Home,purchase,20.26,34,O,Kumasi,5
600,2025-03-21 12:24:00,Books,add_to_cart,0.0,53,M,Accra,7
953,2025-04-26 21:03:00,Home,purchase,341.29,43,F,Accra,3
634,2025-01-11 21:40:00,Books,view,0.0,39,F,Takoradi,5
540,2025-04-17 14:56:00,Clothing,add_to_cart,0.0,48,M,Cape Coast,5
541,2025-03-24 00:35:00,Home,view,0.0,27,M,Tamale,9
273,2025-03-08 15:45:00,Beauty,view,0.0,58,O,Cape Coast,4
79,2025-04-20 23:24:00,Home,view,0.0,27,F,Accra,4
507,2025-02-16 20:53:00,Beauty,view,0.0,29,M,Cape Coast,3
320,2025-03-28 09:06:00,Electronics,purchase,84.2,37,O,Takoradi,0
650,2025-02-26 06:47:00,Books,view,0.0,64,O,Accra,1
987,2025-02-21 00:00:00,Beauty,view,0.0,62,O,Takoradi,6
930,2025-01-04 16:03:00,Home,view,0.0,21,O,Kumasi,9
260,2025-01-01 06:29:00,Clothing,add_to_cart,0.0,33,F,Tamale,2
291,2025-01-08 23:18:00,Beauty,view,0.0,43,F,Cape Coast,2
635,2025-02-12 13:56:00,Clothing,view,0.0,30,M,Cape Coast,3
413,2025-01-16 02:46:00,Home,view,0.0,19,F,Takoradi,7
260,2025-02-06 16:38:00,Clothing,view,0.0,33,F,Tamale,2
489,2025-01-04 21:10:00,Clothing,view,0.0,26,M,Tamale,4
222,2025-02-05 17:25:00,Books,view,0.0,19,O,Kumasi,7
253,2025-01-01 22:25:00,Books,view,0.0,39,F,Tamale,2
44,2025-03-13 23:21:00,Home,view,0.0,24,M,Takoradi,3
607,2025-04-11 09:32:00,Clothing,add_to_cart,0.0,41,O,Takoradi,6
630,2025-04-04 06:08:00,Books,view,0.0,66,M,Accra,1
541,2025-02-02 10:52:00,Clothing,view,0.0,27,M,Tamale,9
885,2025-02-13 21:17:00,Home,view,0.0,67,F,Accra,2
722,2025-04-18 05:36:00,Clothing,view,0.0,37,F,Cape Coast,5
955,2025-04-05 10:03:00,Home,view,0.0,51,F,Cape Coast,4
881,2025-04-08 23:21:00,Clothing,add_to_cart,0.0,56,O,Kumasi,8
134,2025-02-11 22:56:00,Books,view,0.0,61,O,Accra,1
144,2025-04-05 13:38:00,Beauty,view,0.0,20,M,Accra,7
179,2025-04-29 16:08:00,Clothing,view,0.0,19,F,Tamale,3
416,2025-03-10 22:04:00,Clothing,view,0.0,57,O,Kumasi,9
443,2025-03-15 06:57:00,Books,view,0.0,45,O,Cape Coast,0
387,2025-03-24 09:27:00,Books,view,0.0,63,O,Cape Coast,6
518,2025-01-12 14:37:00,Books,purchase,442.95,66,O,Cape Coast,1
520,2025-04-29 19:46:00,Beauty,view,0.0,63,F,Cape Coast,3
451,2025-02-14 07:22:00,Books,purchase,108.9,39,M,Cape Coast,1
334,2025-03-18 20:56:00,Clothing,view,0.0,53,O,Tamale,5
408,2025-04-23 04:43:00,Electronics,view,0.0,39,M,Accra,3
208,2025-04-20 07:55:00,Electronics,view,0.0,59,F,Kumasi,2
12,2025-03-30 16:59:00,Clothing,add_to_cart,0.0,28,F,Tamale,2
846,2025-02-10 03:56:00,Home,view,0.0,18,M,Tamale,8
965,2025-02-12 17:12:00,Home,view,0.0,64,M,Accra,6
